tn,AT
0,0
0.025,-11.22147025
0.05,-25.53370326
0.075,-44.08409045
0.1,-53.31924313
0.125,-20.50197568
0.15,89.5852478
0.175,252.4880015
0.2,376.3038801
0.225,369.2464191
0.25,167.7985959
0.275,-228.2897503
0.3,-688.938393
0.325,-1015.099916
0.35,-1126.56927
0.375,-1093.677126
0.4,-966.8414996
0.425,-725.1258235
0.45,-390.1714026
0.475,-14.13507173
0.5,396.5392083
0.525,770.4874887
0.55,931.4609528
0.575,864.7798312
0.6,801.2284115
0.625,847.2362149
0.65,827.7031372
0.675,663.5150113
0.7,544.4023603
0.725,570.309695
0.75,597.6803261
0.775,566.1788844
0.8,605.6981008
0.825,730.8991048
0.85,784.2026783
0.875,738.6386
0.9,727.6965008
0.925,744.9017887
0.95,628.8874954
0.975,375.2759557
1,171.1933098
1.025,78.11185148
1.05,-73.08905225
1.075,-434.6332858
1.1,-980.9807111
1.125,-1582.914936
1.15,-2067.316886
1.175,-2262.425706
1.2,-2168.982303
1.225,-2012.219105
1.25,-1958.488295
1.275,-1896.19371
1.3,-1658.878954
1.325,-1300.33954
1.35,-958.0628149
1.375,-622.348521
1.4,-252.6323679
1.425,52.50959711
1.45,221.5237081
1.475,378.523803
1.5,633.8756643
1.525,878.8268969
1.55,997.5778339
1.575,1099.863733
1.6,1322.697334
1.625,1577.465929
1.65,1709.249625
1.675,1735.380955
1.7,1724.110296
1.725,1616.786264
1.75,1375.957919
1.775,1143.565115
1.8,1057.15625
1.825,1050.870958
1.85,993.3578377
1.875,882.9352389
1.9,783.524863
1.925,697.9664219
1.95,592.3369562
1.975,442.261413
2,225.7597066
2.025,-45.15143312
2.05,-310.8545962
2.075,-549.4828459
2.1,-810.96621
2.125,-1109.617865
2.15,-1354.491078
2.175,-1438.890258
2.2,-1372.026648
2.225,-1290.930438
2.25,-1308.687204
2.275,-1367.177741
2.3,-1331.453632
2.325,-1196.847027
2.35,-1055.567785
2.375,-929.7980647
2.4,-815.2567362
2.425,-769.7203308
2.45,-801.7135288
2.475,-841.3140481
2.5,-888.0212251
2.525,-958.2057491
2.55,-942.7928718
2.575,-787.6849854
2.6,-635.885092
2.625,-536.7299905
2.65,-308.4545998
2.675,122.9680993
2.7,611.9635784
2.725,1085.203209
2.75,1560.011157
2.775,1941.325465
2.8,2145.487796
2.825,2250.429503
2.85,2300.469985
2.875,2219.427049
2.9,1982.066205
2.925,1598.701392
2.95,1051.220807
2.975,485.8896133
3,181.8533393
3.025,148.9619055
3.05,130.6135268
3.075,60.1280188
3.1,83.56818616
3.125,172.0604339
3.15,132.4722582
3.175,-75.12321307
3.2,-333.6037594
3.225,-564.4205021
3.25,-762.1571634
3.275,-961.5165752
3.3,-1209.403146
3.325,-1466.488994
3.35,-1602.445049
3.375,-1568.693235
3.4,-1464.188963
3.425,-1382.412793
3.45,-1298.899153
3.475,-1121.631354
3.5,-789.2297344
3.525,-348.0740355
3.55,55.23088078
3.575,319.1027459
3.6,484.252652
3.625,600.1035987
3.65,601.2993092
3.675,463.0438385
3.7,340.7835722
3.725,350.0329755
3.75,353.2674373
3.775,206.7913344
3.8,54.47647003
3.825,103.0251595
3.85,285.0305749
3.875,428.3608481
3.9,565.1610864
3.925,798.1643518
3.95,1050.612279
3.975,1179.025089
4,1168.416698
4.025,1075.206507
4.05,930.9098066
4.075,762.646
4.1,583.3835818
4.125,371.8137799
4.15,144.2693808
4.175,-31.36467335
4.2,-158.5473327
4.225,-339.6701918
4.25,-607.2490685
4.275,-823.0973064
4.3,-841.5769652
4.325,-715.1176886
4.35,-613.1645575
4.375,-571.4182692
4.4,-502.4555222
4.425,-441.7102907
4.45,-538.4099821
4.475,-782.9605731
4.5,-984.5055292
4.525,-1013.511647
4.55,-867.4158295
4.575,-584.1449642
4.6,-253.0820727
4.625,31.34556609
4.65,289.8661607
4.675,535.7657222
4.7,623.2318522
4.725,500.8918457
4.75,412.8110562
4.775,521.3010596
4.8,614.1210872
4.825,493.1918489
4.85,299.5465676
4.875,189.3201083
4.9,76.19642245
4.925,-100.1872295
4.95,-226.6606956
4.975,-263.0718784
5,-299.594329
5.025,-325.5736814
5.05,-236.2542188
5.075,-51.81901929
5.1,118.9769895
5.125,272.0626658
5.15,455.0792926
5.175,610.8014125
5.2,658.4548433
5.225,630.5506873
5.25,568.4341073
5.275,406.8762587
5.3,125.4467517
5.325,-120.6564285
5.35,-187.152845
5.375,-129.13306
5.4,-64.60958388
5.425,4.655081243
5.45,112.3140655
5.475,213.0739288
5.5,255.1265362
5.525,247.3752581
5.55,188.5865284
